Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void _GLOBAL__N__63_tmpxft_000042b5_00000000_8_vector_operations_compute_61_cpp1_ii_45889648::multiplyKernel<double>(double*, _GLOBAL__N__63_tmpxft_000042b5_00000000_8_vector_operations_compute_61_cpp1_ii_45889648::multiplyKernel<double> const *, _GLOBAL__N__63_tmpxft_000042b5_00000000_8_vector_operations_compute_61_cpp1_ii_45889648::multiplyKernel<double>, unsigned long)",75,3098,10,0,0,201000000,8000,8532000000,19,0,826
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,3381,8,0,0,378000000,0,9729000000,40,0,1028
"void _GLOBAL__N__63_tmpxft_000042b5_00000000_8_vector_operations_compute_61_cpp1_ii_45889648::addKernel<double>(double*, _GLOBAL__N__63_tmpxft_000042b5_00000000_8_vector_operations_compute_61_cpp1_ii_45889648::addKernel<double> const *, _GLOBAL__N__63_tmpxft_000042b5_00000000_8_vector_operations_compute_61_cpp1_ii_45889648::addKernel<double> const , unsigned long)",75,3405,10,0,0,162000000,8000,13343000000,17,0,1419
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, thrust::detail::normal_iterator<thrust::pointer<int, thrust::cuda_cub::tag, thrust::use_default, thrust::use_default>>, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",5,3721,28,44,0,819000000,0,102000000,95,0,12
"void alsfvm::equation::_GLOBAL__N__62_tmpxft_00003fa3_00000000_8_CUDACellComputer_compute_61_cpp1_ii_40b37ae6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>>(int=3, alsfvm::equation::_GLOBAL__N__62_tmpxft_00003fa3_00000000_8_CUDACellComputer_compute_61_cpp1_ii_40b37ae6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews>, alsfvm::equation::_GLOBAL__N__62_tmpxft_00003fa3_00000000_8_CUDACellComputer_compute_61_cpp1_ii_40b37ae6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>::ConstViewsExtra>, unsigned long, unsigned long*)",5,3884,8,0,0,215000000,0,24711000000,26,0,3000
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",55,4702,23,0,0,440000000,0,1792000000,64,0,263
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",55,4908,22,0,0,485000000,0,1713000000,74,0,262
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_00004c12_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_28b6e896::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_00004c12_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_28b6e896::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",70,4980,24,0,0,799000000,0,6852000000,124,0,1066
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",210,5613,38,48,0,2034000000,0,899000000,356,0,157
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",55,5941,27,0,0,610000000,0,1080000000,113,0,200
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",55,5994,22,0,0,417000000,0,7312000000,78,0,1369
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",55,6087,22,0,0,409000000,0,7421000000,78,0,1412
