Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,2624,8,0,0,390000000,0,292000000,32,0,24
"void _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::multiplyKernel<double>(double*, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::multiplyKernel<double> const *, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::multiplyKernel<double>, unsigned long)",25,2974,10,0,0,35000000,8000,231000000,3,0,21
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",5,3192,27,44,0,120000000,0,208000000,12,0,20
"void _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double>(double*, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double> const *, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double> const , unsigned long)",25,3256,10,0,0,45000000,8000,372000000,4,0,37
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",35,4034,24,0,0,154000000,0,1218000000,19,0,153
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",105,4087,34,48,0,400000000,0,129000000,51,0,16
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",30,4557,23,0,0,29000000,0,375000000,4,0,53
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",30,4557,22,0,0,39000000,0,365000000,5,0,52
"void alsfvm::equation::_GLOBAL__N__62_tmpxft_0000751a_00000000_8_CUDACellComputer_compute_61_cpp1_ii_0e8fb31b::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>>(int=3, alsfvm::equation::_GLOBAL__N__62_tmpxft_0000751a_00000000_8_CUDACellComputer_compute_61_cpp1_ii_0e8fb31b::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews>, unsigned long, unsigned long*)",5,4571,26,0,0,122000000,160000,269000000,17,16000,38
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",30,5208,26,0,0,4000000,0,97000000,0,0,16
